DIRECTORIO	SECUENCIA_ENCUESTA	SECUENCIA_P	NRO_ENCUESTA	ORDEN	P5000	P5010	P5016	P5016S5	P5016S6	P5016S2	P5016S3	P5016S4	P5666	P8526	P5022	P5024	P5030	P5041	P5046	P5046S1	P5046S1A1	P5046S1A2	P5046S1A3	P5046S1A4	P5046S1A5	P5046S1A6	P5046S1A7	P5012	P5012S1	P5012S2	P5012S3	P5012S4	P5012S5	P5012S6	P5012S7	P8530	P5047	P5069	P764	P8534	P8536	P1698	P1698S1	P5305	CANT_PERSONAS_HOGAR	I_HOGAR	I_UGASTO	PERCAPITA	I_OU	LLAVEHOG	FEX_C
5000105	1	1	591	1	5	3				1	1		1	1	1	1	1	1	2										1	1	2	2	1	2	2	1	2	1	1		2	2		2	6	1855287.33333333	1855287.33333333	309214.555555556	0	50001051	784.197791475762
5000106	1	1	591	1	4	3				1	1		1	1	1	1	1	1	1				1	1					1	1	1	1	1	2	2	1	2	1	1		2	2		2	6	390000	390000	65000	0	50001061	816.695962341926
5000107	1	1	591	1	4	1						1	1	1	1	1	1	1	2										1	1	1	1	2	1	2	1	2	2	1		2	2		2	3	890000	890000	296666.666666667	0	50001071	1031.02838636744
5000109	1	1	591	1	4	2						1	1	1	1	2	1	1	2										1	2	2	2	2	2	2	1	2	1	1		2	2		2	3	5233333.33333333	5233333.33333333	1744444.44444444	0	50001091	804.203069249562
5000110	1	1	591	1	4	2						1	1	1	2	1	1	1	2										1	1	2	1	1	1	2	1	2	2	1		2	2		2	4	2582000	2582000	645500	0	50001101	635.518415387353
5000111	1	1	591	1	3	1						1	1	1	1	1	1	1	1		1			1					1	1	2	1	1	2	2	1	2	2	1		2	2		2	1	470000	470000	470000	0	50001111	654.122621004931
5000112	1	1	591	1	3	2						1	1	1	1	1	1	1	2										1	1	1	2	2	2	2	1	2	2	1		2	2		2	4	1231283.33333333	891283.333333333	297094.444444444	340000	50001121	720.334309074987
5000113	1	1	591	1	3	1					1		1	1	2	1	1	1	1		1	1	1						1	1	2	1	2	1	2	1	2	1	1		2	2		2	3	1107500	1107500	369166.666666667	0	50001131	769.225266242614
5000114	1	1	591	1	2	2						1	1	1	1	1	1	1	2										2	1	2	1	2	2	2	1	2	2	1		2	2		2	4	1335000	1335000	333750	0	50001141	952.364929439792
5000115	1	1	591	1	3	2			1				1	1	1	1	1	1	1		1	1	1	1					1	1	2	1	1	2	2	1	2	1	2		2	2		2	3	778833.333333333	778833.333333333	259611.111111111	0	50001151	795.193534911922
5000116	1	1	591	1	1	1						1	1	1	1	1	1	1	2										1	1	2	2	2	2	2	1	2	2	1		2	2		2	2	1225000	1225000	612500	0	50001161	669.928296254917
5000117	1	1	591	1	5	3						1	1	1	1	1	1	1	2										1	1	2	1	2	2	2	1	2	2	1		2	2		2	5	2172500	2172500	434500	0	50001171	1003.4998061685
5000118	1	1	591	1	2	2					1		1	1	1	1	1	1	2										1	1	1	1	2	1	2	1	2	1	1		2	2		2	6	1176166.66666667	1176166.66666667	196027.777777778	0	50001181	827.130216918573
5000119	1	1	591	1	2	1						1	1	1	1	1	1	1	1		1		1	1					1	1	1	1	2	1	1	1	2	1	1		2	2		2	3	500000	500000	166666.666666667	0	50001191	769.576664714386
